iter	Passed	Remaining
430	1657	2188
431	1661	2184
432	1664	2179
433	1667	2175
434	1672	2171
435	1675	2167
436	1679	2164
437	1685	2162
438	1690	2160
439	1694	2156
440	1698	2152
441	1701	2148
442	1705	2144
443	1709	2140
444	1712	2136
445	1716	2132
446	1720	2128
447	1724	2124
448	1727	2120
449	1731	2116
450	1735	2113
451	1739	2109
452	1743	2105
453	1747	2101
454	1751	2098
455	1755	2094
456	1759	2091
457	1763	2087
458	1768	2083
459	1772	2080
460	1776	2076
461	1780	2073
462	1785	2070
463	1789	2067
464	1793	2063
465	1798	2061
466	1802	2057
467	1807	2054
468	1811	2051
469	1816	2048
470	1821	2045
471	1825	2042
472	1829	2038
473	1832	2033
474	1836	2030
475	1841	2026
476	1845	2023
477	1849	2019
478	1853	2015
479	1856	2011
480	1860	2007
481	1864	2003
482	1868	1999
483	1873	1996
484	1878	1994
485	1883	1992
486	1887	1987
487	1890	1983
488	1893	1979
489	1897	1974
490	1900	1969
491	1903	1965
492	1907	1961
493	1910	1957
494	1914	1952
495	1917	1948
496	1921	1944
497	1924	1940
498	1927	1935
499	1931	1931
500	1934	1926
501	1938	1922
502	1941	1918
503	1945	1914
504	1948	1909
505	1951	1905
506	1954	1900
507	1958	1896
508	1961	1892
509	1964	1887
510	1968	1883
511	1971	1879
512	1974	1874
513	1978	1870
514	1981	1866
515	1984	1861
516	1988	1857
517	1992	1853
518	1995	1849
519	1998	1845
520	2002	1841
521	2006	1837
522	2009	1833
523	2012	1828
524	2016	1824
525	2021	1821
526	2026	1818
527	2030	1814
528	2033	1810
529	2036	1806
530	2039	1801
531	2043	1797
532	2046	1792
533	2049	1788
534	2052	1783
535	2055	1779
536	2059	1775
537	2062	1770
538	2065	1766
539	2068	1762
540	2071	1757
541	2075	1753
542	2078	1749
543	2081	1745
544	2084	1740
545	2088	1736
546	2091	1732
547	2094	1727
548	2097	1723
549	2101	1719
550	2104	1715
551	2107	1710
552	2111	1706
553	2114	1702
554	2117	1697
555	2121	1693
556	2123	1689
557	2127	1684
558	2130	1680
559	2133	1676
560	2136	1672
561	2140	1668
562	2143	1663
563	2146	1659
564	2150	1655
565	2153	1651
566	2156	1647
567	2161	1644
568	2165	1640
569	2170	1637
570	2174	1633
571	2177	1629
572	2180	1625
573	2184	1620
574	2187	1616
575	2190	1612
576	2195	1609
577	2198	1605
578	2202	1601
579	2205	1596
580	2209	1593
581	2212	1588
582	2215	1584
583	2218	1580
584	2222	1576
585	2225	1572
586	2228	1568
587	2231	1563
588	2235	1559
589	2238	1555
590	2241	1551
591	2244	1546
592	2247	1542
593	2251	1538
594	2254	1534
595	2257	1530
596	2260	1526
597	2264	1522
598	2267	1517
599	2270	1513
600	2273	1509
601	2277	1505
602	2280	1501
603	2283	1497
604	2287	1493
605	2290	1488
606	2293	1485
607	2297	1480
608	2300	1476
609	2304	1473
610	2308	1470
611	2313	1466
612	2317	1463
613	2321	1459
614	2325	1455
615	2328	1451
616	2331	1447
617	2334	1443
618	2338	1439
619	2341	1435
620	2345	1431
621	2348	1427
622	2352	1423
623	2355	1419
624	2358	1414
625	2361	1411
626	2365	1406
627	2368	1402
628	2372	1399
629	2375	1395
630	2379	1391
631	2382	1387
632	2386	1383
633	2390	1379
634	2393	1375
635	2396	1371
636	2401	1368
637	2404	1364
638	2408	1360
639	2412	1357
640	2416	1353
641	2420	1349
642	2423	1345
643	2427	1342
644	2431	1338
645	2434	1334
646	2438	1330
647	2442	1326
648	2448	1324
649	2453	1321
650	2458	1318
651	2462	1314
652	2466	1310
653	2469	1306
654	2473	1303
655	2477	1299
656	2481	1295
657	2485	1291
658	2488	1287
659	2493	1284
660	2496	1280
661	2500	1276
